quantity_gwh;country_key;year_key;flow_type_key;source_type_key
149470447;11;13;;9
16160797;11;13;4;0
68886593;11;13;5;0
6058379;11;13;;0
34953136;11;13;;0
368894457;11;13;;0
442091532;12;13;;0
238089254;12;13;;1
117472201;12;13;;2
3889805;12;13;;3
73621766;12;13;;4
38133439;12;13;;5
4972043;12;13;;1
22846016;12;13;;6
164747772;12;13;;7
14845934;12;13;;8
142212;12;13;;10
1420345;12;13;;11
240715372;12;13;;9
49812649;12;13;4;0
53488691;12;13;5;0
6087176;12;13;;0
23553032;12;13;;0
408775282;12;13;;0
3565081;13;13;;0
15390624;13;13;;1
35705;13;13;;2
1300585;13;13;;3
996136;13;13;;4
524908;13;13;;5
33271;13;13;;1
3346036;13;13;;6
11660278;13;13;;7
5253872;13;13;;8
20785094;13;13;;9
4609926;13;13;4;0
1726914;13;13;5;0
42939;13;13;;0
2999377;13;13;;0
35105054;13;13;;0
26892202;14;13;;0
12277935;14;13;;12
10580476;14;13;;1
2172709;14;13;;2
25685;14;13;;3
6871677;14;13;;4
1298573;14;13;;5
211832;14;13;;1
178661;14;13;;6
748084;14;13;;7
2988276;14;13;;8
6271;14;13;;10
1125;14;13;;11
5219864;14;13;;9
19594488;14;13;4;0
6965649;14;13;5;0
2232272;14;13;;0
37288769;14;13;;0
16067101;15;13;;0
1028;15;13;;1
1028;15;13;;3
11303386;15;13;;6
1156;15;13;;7
4751128;15;13;;10
16066073;15;13;;9
439385;15;13;;0
15627716;15;13;;0
26952698;16;13;;0
1349836;16;13;;1
888176;16;13;;2
224293;16;13;;3
11440777;16;13;;4
749371;16;13;;5
195744;16;13;;1
1428371;16;13;;6
11999439;16;13;;7
26529;16;13;;8
14203709;16;13;;9
3508997;16;13;4;0
327959;16;13;5;0
408892;16;13;;0
2218521;16;13;;0
27506323;16;13;;0
20627347;17;13;;0
113400822;17;13;;1
9664952;17;13;;2
4699099;17;13;;3
87332612;17;13;;4
10261057;17;13;;5
1443102;17;13;;1
4309319;17;13;;6
29830565;17;13;;7
15073613;17;13;;8
4445227;17;13;;10
430052;17;13;;11
102703652;17;13;;9
48111052;17;13;4;0
2669095;17;13;5;0
1899368;17;13;;0
14745695;17;13;;0
235070362;17;13;;0
75022586;18;13;;0
65019495;18;13;;12
538519084;18;13;;1
225483238;18;13;;2
13996026;18;13;;3
